Timestamp,22 Gordon Street Weather Station OAT,"London, United Kingdom Temp",Student Centre Luft WS600 OAT(act)
2026-01-12T21:00:00Z London,11.137500286102295,10,10.949999809265137
2026-01-12T22:00:00Z London,11.010000228881836,10,10.699999809265137
2026-01-12T23:00:00Z London,10.670000076293945,9.75,10.699999809265137
2026-01-13T00:00:00Z London,10.627500057220459,9,10.616666475931803
2026-01-13T01:00:00Z London,10.712500095367432,9,10.324999809265137
2026-01-13T02:00:00Z London,10.670000076293945,8.5,10.199999809265137
2026-01-13T03:00:00Z London,11.010000228881836,7,10.699999809265137
2026-01-13T04:00:00Z London,11.010000228881836,7.25,10.699999809265137
2026-01-13T05:00:00Z London,10.925000190734863,8.25,10.324999809265137
2026-01-13T06:00:00Z London,11.010000228881836,9,10.199999809265137
2026-01-13T07:00:00Z London,11.010000228881836,9.25,10.199999809265137
2026-01-13T08:00:00Z London,11.010000228881836,10,10.199999809265137
2026-01-13T09:00:00Z London,11.180000305175781,10,10.199999809265137
2026-01-13T10:00:00Z London,11.010000228881836,10,10.199999809265137
2026-01-13T11:00:00Z London,11.392500400543213,10,10.741666475931803
2026-01-13T12:00:00Z London,12.029999732971191,10,11.199999809265137
2026-01-13T13:00:00Z London,11.775000095367432,10,11.149999856948853
2026-01-13T14:00:00Z London,11.010000228881836,10,10.266667048136393
2026-01-13T15:00:00Z London,11.350000381469727,10,11.05833371480306
2026-01-13T16:00:00Z London,11.520000457763672,10,11.266667048136393
2026-01-13T17:00:00Z London,11.520000457763672,10,11.108333667119345
2026-01-13T18:00:00Z London,10.96750020980835,10,10.725000381469727
2026-01-13T19:00:00Z London,10.15833330154419,10,9.59166669845581
2026-01-13T20:00:00Z London,8.646666844685873,9.5,7.9249997933705645
2026-01-13T21:00:00Z London,8.138333360354105,7.75,7.616666475931804
2026-01-13T22:00:00Z London,7.288333177566528,6.75,6.90833314259847
2026-01-13T23:00:00Z London,6.485000054041545,5.75,6.699999809265137
2026-01-14T00:00:00Z London,6.400000095367432,5,6.616666475931804
2026-01-14T01:00:00Z London,6.191666762034099,4.75,6.03333314259847
2026-01-14T02:00:00Z London,5.4749999443689985,4,5.699999809265137
2026-01-14T03:00:00Z London,4.7500001192092896,4,5.241666475931804
2026-01-14T04:00:00Z London,4.360000133514404,3.75,5.074999809265137
2026-01-14T05:00:00Z London,3.8833332657814026,2.75,4.699999809265137
2026-01-14T06:00:00Z London,3.4933332602183023,1.75,4.53333314259847
2026-01-14T07:00:00Z London,3.319999933242798,1,4.199999809265137
2026-01-14T08:00:00Z London,3.319999933242798,1,4.199999809265137
2026-01-14T09:00:00Z London,4.479166607062022,0.75,4.824999809265137
2026-01-14T10:00:00Z London,11.050833622614542,0.25,5.491666475931804
2026-01-14T11:00:00Z London,11.902499914169312,1.5,6.324999809265137
2026-01-14T12:00:00Z London,12.49666659037272,3.5,6.925000031789144
2026-01-14T13:00:00Z London,12.368333180745443,4.75,7.900000214576721
2026-01-14T14:00:00Z London,10.240000168482462,4.75,8.18333371480306
2026-01-14T15:00:00Z London,8.950000127156576,7,8.141667048136393
2026-01-14T16:00:00Z London,8.430000305175781,7,7.666666666666667
2026-01-14T17:00:00Z London,7.929999828338623,7,7.5
2026-01-14T18:00:00Z London,7.929999828338623,7,7.708333333333333
2026-01-14T19:00:00Z London,8.733333508173624,7,8.483333428700766
2026-01-14T20:00:00Z London,9.641666889190674,7.25,9.350000381469727
2026-01-14T21:00:00Z London,10.5,8.25,9.93333371480306
2026-01-14T22:00:00Z London,10.585000038146973,9,10.350000381469727
2026-01-14T23:00:00Z London,11.010000228881836,9,10.600000381469727
2026-01-15T00:00:00Z London,11.010000228881836,9,10.600000381469727
2026-01-15T01:00:00Z London,10.287499904632568,9.25,10.016667048136393
2026-01-15T02:00:00Z London,9.166666666666666,9.5,9.225000381469727
2026-01-15T03:00:00Z London,8.949999809265137,7.75,8.775000095367432
2026-01-15T04:00:00Z London,8.949999809265137,7,9.024999936421713
2026-01-15T05:00:00Z London,9.166666507720947,7.25,9.300000190734863
2026-01-15T06:00:00Z London,10.15999984741211,8,9.633333524068197
2026-01-15T07:00:00Z London,10.5,8,9.800000190734863
2026-01-15T08:00:00Z London,10.117499828338623,8.25,9.59166685740153
2026-01-15T09:00:00Z London,10.117499828338623,9,9.300000190734863
2026-01-15T10:00:00Z London,9.296666781107584,9,9.166666984558105
2026-01-15T11:00:00Z London,9.600000143051147,9,9.100000381469727
2026-01-15T12:00:00Z London,9.68666672706604,9,9.43333371480306
2026-01-15T13:00:00Z London,9.556666851043701,9,9.25000031789144
2026-01-15T14:00:00Z London,9.470000267028809,9,9.125
2026-01-15T15:00:00Z London,9.556666851043701,8.75,9.5
2026-01-15T16:00:00Z London,9.773333311080933,8.25,9.525000174840292
2026-01-15T17:00:00Z London,10.03249979019165,9,9.833333333333334
2026-01-15T18:00:00Z London,10.03249979019165,9,9.966666539510092
2026-01-15T19:00:00Z London,10.074999809265137,9,10
2026-01-15T20:00:00Z London,9.426666657129923,9,9.041666666666666
2026-01-15T21:00:00Z London,8.013333241144815,8.75,7.708333333333333
2026-01-15T22:00:00Z London,7.583333174387614,7.5,7.25
2026-01-15T23:00:00Z London,7.326666514078776,6,7.25
2026-01-16T00:00:00Z London,6.78249990940094,5.75,7
2026-01-16T01:00:00Z London,6.400000095367432,5,6.541666666666667
2026-01-16T02:00:00Z London,6.108333428700765,4.75,6.25
2026-01-16T03:00:00Z London,5.6875,3.75,6.041666666666667
2026-01-16T04:00:00Z London,5.389999866485596,3,5.75
2026-01-16T05:00:00Z London,5.815000057220459,3.25,5.666666666666667
2026-01-16T06:00:00Z London,6.066666762034099,4,6.208333333333333
2026-01-16T07:00:00Z London,6.909999847412109,4,7.083333333333333
