Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-12T01:00:00Z London,300,150.25833384195963,60.125,58.14166736602783,380
2026-01-12T02:00:00Z London,400,149.4250005086263,60.220000902811684,58.093333880106606,490
2026-01-12T03:00:00Z London,400,150.49999872843424,60.519999504089355,58.347500483194985,440
2026-01-12T04:00:00Z London,300,150.79166793823242,59.82499980926514,57.73333295186361,370
2026-01-12T05:00:00Z London,400,150.39166514078775,59.621665954589844,57.465833028157554,490
2026-01-12T06:00:00Z London,300,149.70833460489908,60.2491668065389,58.20833365122477,450
2026-01-12T07:00:00Z London,400,150.19166310628256,60.11083253224691,57.76916694641113,470
2026-01-12T08:00:00Z London,500,151.6500015258789,59.09499963124593,56.45833269755045,490
2026-01-12T09:00:00Z London,500,151.8083356221517,58.077500343322754,55.264166514078774,520
2026-01-12T10:00:00Z London,500,150.6999994913737,57.60916646321615,54.81333351135254,520
2026-01-12T11:00:00Z London,400,149.06666564941406,58.53999996185303,55.763333002726235,480
2026-01-12T12:00:00Z London,500,150.15000025431314,58.574167251586914,55.99749946594238,470
2026-01-12T13:00:00Z London,400,151.48333358764648,58.4391663869222,55.93749968210856,490
2026-01-12T14:00:00Z London,500,152.1750005086263,58.42916615804037,55.97499942779541,490
