Timestamp,Central House Luft WS10 OAT
2026-01-23T15:00:00Z London,6.7249999443689985
2026-01-23T16:00:00Z London,6.549999952316284
2026-01-23T17:00:00Z London,6.475000023841858
2026-01-23T18:00:00Z London,6.058333357175191
2026-01-23T19:00:00Z London,5.8416668176651
2026-01-23T20:00:00Z London,5.774999976158142
2026-01-23T21:00:00Z London,5.858333428700765
2026-01-23T22:00:00Z London,5.416666626930237
2026-01-23T23:00:00Z London,5.116666555404663
2026-01-24T00:00:00Z London,5.1499998569488525
2026-01-24T01:00:00Z London,5.241666674613953
2026-01-24T02:00:00Z London,5.291666746139526
2026-01-24T03:00:00Z London,5.275000095367432
2026-01-24T04:00:00Z London,5.2083332141240435
2026-01-24T05:00:00Z London,5.091666618982951
2026-01-24T06:00:00Z London,4.550000071525574
2026-01-24T07:00:00Z London,4.1166666348775225
2026-01-24T08:00:00Z London,3.649999956289927
2026-01-24T09:00:00Z London,4.0666666229565935
2026-01-24T10:00:00Z London,4.891666690508525
2026-01-24T11:00:00Z London,5.866666714350383
2026-01-24T12:00:00Z London,6.291666706403096
